,value
1979-09-30,225418.33333333334
1979-12-31,226117.33333333334
1980-03-31,226754.0
1980-06-30,227389.0
1980-09-30,228070.66666666666
1980-12-31,228689.66666666666
1981-03-31,229155.33333333334
1981-06-30,229673.66666666666
1981-09-30,230301.33333333334
1981-12-31,230903.66666666666
1982-03-31,231395.0
1982-06-30,231906.0
1982-09-30,232498.0
1982-12-31,233074.33333333334
1983-03-31,233546.0
1983-06-30,234028.33333333334
1983-09-30,234603.0
1983-12-31,235153.33333333334
1984-03-31,235604.66666666666
1984-06-30,236082.33333333334
1984-09-30,236657.33333333334
1984-12-31,237232.66666666666
1985-03-31,237672.66666666666
1985-06-30,238175.66666666666
1985-09-30,238789.33333333334
1985-12-31,239386.66666666666
1986-03-31,239860.66666666666
1986-06-30,240367.66666666666
1986-09-30,240961.66666666666
1986-12-31,241539.0
1987-03-31,242009.33333333334
1987-06-30,242520.0
1987-09-30,243120.33333333334
1987-12-31,243720.66666666666
1988-03-31,244207.66666666666
1988-06-30,244716.66666666666
1988-09-30,245354.0
1988-12-31,245966.33333333334
1989-03-31,246460.33333333334
1989-06-30,247017.33333333334
1989-09-30,247698.33333333334
1989-12-31,248374.33333333334
1990-03-31,248936.33333333334
1990-06-30,249711.0
1990-09-30,250594.66666666666
1990-12-31,251481.66666666666
1991-03-31,252257.33333333334
1991-06-30,253062.66666666666
1991-09-30,253965.33333333334
1991-12-31,254835.33333333334
1992-03-31,255585.0
1992-06-30,256439.33333333334
1992-09-30,257385.66666666666
1992-12-31,258276.66666666666
1993-03-31,259039.33333333334
1993-06-30,259826.0
1993-09-30,260714.33333333334
1993-12-31,261546.66666666666
1994-03-31,262249.6666666667
1994-06-30,263020.6666666667
1994-09-30,263870.0
1994-12-31,264678.3333333333
1995-03-31,265388.3333333333
1995-06-30,266141.6666666667
1995-09-30,267000.6666666667
1995-12-31,267820.3333333333
1996-03-31,268487.3333333333
1996-06-30,269251.3333333333
1996-09-30,270128.3333333333
1996-12-31,270991.6666666667
1997-03-31,271709.0
1997-06-30,272487.3333333333
1997-09-30,273390.6666666667
1997-12-31,274245.6666666667
1998-03-31,274950.0
1998-06-30,275703.3333333333
1998-09-30,276563.6666666667
1998-12-31,277400.0
1999-03-31,278103.3333333333
1999-06-30,278863.6666666667
1999-09-30,279751.0
1999-12-31,280592.3333333333
2000-03-31,281304.3333333333
2000-06-30,282002.0
2000-09-30,282768.6666666667
2000-12-31,283518.6666666667
2001-03-31,284168.6666666667
2001-06-30,284837.3333333333
2001-09-30,285583.3333333333
2001-12-31,286311.3333333333
2002-03-31,286935.0
2002-06-30,287574.0
2002-09-30,288302.6666666667
2002-12-31,289006.6666666667
2003-03-31,289609.0
2003-06-30,290252.6666666667
2003-09-30,290974.0
2003-12-31,291669.3333333333
2004-03-31,292236.6666666667
2004-06-30,292875.3333333333
2004-09-30,293603.3333333333
2004-12-31,294334.0
2005-03-31,294957.3333333333
2005-06-30,295588.3333333333
2005-09-30,296340.3333333333
2005-12-31,297085.6666666667
2006-03-31,297736.6666666667
2006-06-30,298408.0
2006-09-30,299180.0
2006-12-31,299946.0
2007-03-31,300609.6666666667
2007-06-30,301283.6666666667
2007-09-30,302062.6666666667
2007-12-31,302828.6666666667
2008-03-31,303493.6666666667
2008-06-30,304159.6666666667
2008-09-30,304902.3333333333
2008-12-31,305616.6666666667
2009-03-31,306236.6666666667
2009-06-30,306866.0
2009-09-30,307572.6666666667
2009-12-31,308285.0
2010-03-31,308901.6666666667
2010-06-30,309488.3333333333
2010-09-30,310148.0
2010-12-31,310817.3333333333
2011-03-31,311376.0
2011-06-30,311940.6666666667
2011-09-30,312606.3333333333
2011-12-31,313258.0
2012-03-31,313813.3333333333
2012-06-30,314373.3333333333
2012-09-30,315030.3333333333
2012-12-31,315684.6666666667
2013-03-31,316195.3333333333
2013-06-30,316732.6666666667
2013-09-30,317396.0
2013-12-31,318072.0
2014-03-31,318644.3333333333
2014-06-30,319227.6666666667
2014-09-30,319918.3333333333
2014-12-31,320611.3333333333
2015-03-31,321168.3333333333
2015-06-30,321744.0
2015-09-30,322427.6666666667
2015-12-31,323110.6666666667
2016-03-31,323689.0
2016-06-30,324265.6666666667
2016-09-30,324925.3333333333
2016-12-31,325557.3333333333
2017-03-31,326052.6666666667
2017-06-30,326554.0
2017-09-30,327140.3333333333
2017-12-31,327691.6666666667
2018-03-31,328091.0
2018-06-30,328525.6666666667
2018-09-30,329039.6666666667
2018-12-31,329521.6666666667
2019-03-31,329868.3333333333
2019-06-30,330245.3333333333
2019-09-30,330728.6666666667
2019-12-31,331208.0
2020-03-31,331545.3333333333
2020-06-30,331765.6666666667
2020-09-30,331938.3333333333
2020-12-31,332111.6666666667
2021-03-31,332056.0
2021-06-30,332217.6666666667
2021-09-30,332632.0
2021-12-31,333105.0
2022-03-31,333462.6666666667
2022-06-30,333960.3333333333
2022-09-30,334627.6666666667
2022-12-31,335349.3333333333
2023-03-31,335978.0
2023-06-30,336637.6666666667
2023-09-30,337442.6666666667
2023-12-31,338288.6666666667
2024-03-31,339034.6666666667
2024-06-30,339830.0
2024-09-30,340511.6666666667
2024-12-31,341005.0
2025-03-31,341380.6666666667
2025-06-30,341787.0
2025-09-30,342177.0
2025-12-31,342433.3333333333
2026-03-31,342540.0
