model_class,horizon_q,rmse,mae,bias
Horizon Hybrid,36,141.58186761363459,124.21108989673262,-32.238556198692656
Horizon Hybrid,37,145.94673388789795,129.04599150211612,-36.58466096902008
Horizon Hybrid,38,155.68357237593986,138.45459950286983,-47.74641536364498
Horizon Hybrid,39,160.54113416959433,143.90109927696452,-54.282014827992064
Horizon Hybrid,40,161.56576405907057,145.8996622172392,-55.64363904468835
Econometric Ensemble,1,4.172573790077922,3.0099362930277094,1.0156327078375
Econometric Ensemble,2,7.086412930100671,6.064653559131466,3.029962366014047
Econometric Ensemble,3,9.364915036310098,8.039536416733768,4.175733725288557
Econometric Ensemble,4,10.869031645191493,9.560187113851754,5.610019093922636
Econometric Ensemble,5,13.496635651450363,12.242723107023636,7.806304166046499
Econometric Ensemble,6,19.202164340741966,17.083936265715103,10.388996110083587
Econometric Ensemble,7,23.914948622638374,20.703497467097446,11.832383443525675
Econometric Ensemble,8,26.868856704279246,23.2090854665771,13.817689585615454
Econometric Ensemble,9,30.286443630293533,26.792932045623502,16.59096476260454
Econometric Ensemble,10,36.86656109304094,32.71379711864519,18.884489565457
Econometric Ensemble,11,41.76603158278136,36.4872917454298,19.817651973484242
Econometric Ensemble,12,45.45544832882645,39.32928312051125,21.84645653179402
Econometric Ensemble,13,49.870628662614976,43.274197564780536,24.2217140668507
Econometric Ensemble,14,55.99360493570561,48.45978150376418,25.23379151263388
Econometric Ensemble,15,59.60710768772309,51.24371026190197,25.04583482800779
Econometric Ensemble,16,63.302797086677806,54.068677166194405,26.98097639325269
Econometric Ensemble,17,69.17974984813992,58.321555774657305,29.402346894660923
Econometric Ensemble,18,74.32476435685544,62.41337709034904,29.199470959177773
Econometric Ensemble,19,76.19424824480997,64.04422108917399,27.797614666591734
Econometric Ensemble,20,79.5118682232334,66.4482217713279,28.98798259012264
Econometric Ensemble,21,85.22031366987547,70.25242025051848,30.38117222698612
Econometric Ensemble,22,90.87353103209226,74.54212179357964,27.609035363649934
Econometric Ensemble,23,92.3815510393185,75.20210102594201,26.16867385047226
Econometric Ensemble,24,95.27237929399683,77.36317627702905,26.137599237812857
Econometric Ensemble,25,99.75848650379228,80.65741182747877,25.112925790658835
Econometric Ensemble,26,105.89652640653756,86.24614853158755,18.889285456933095
Econometric Ensemble,27,110.06231198794706,89.06608207188908,14.493475206031462
Econometric Ensemble,28,114.91450159564376,92.17772539437003,12.36499976704277
Econometric Ensemble,29,120.46285386112321,96.33654583870059,8.348712641192805
Econometric Ensemble,30,131.00561869522625,104.03488175961463,-2.265426611810085
Econometric Ensemble,31,136.11657144693743,107.01914810510819,-7.563934015289516
Econometric Ensemble,32,139.57070125782872,109.36570827178919,-9.375614736389474
Econometric Ensemble,33,145.30875640924916,114.63095237839384,-13.497680206183025
Econometric Ensemble,34,157.20882999905825,126.72763422216119,-25.581619139738603
Econometric Ensemble,35,164.00809035411487,133.3145916509809,-31.55581449997502
Econometric Ensemble,36,167.59653336636632,137.15762761863704,-33.08436372892858
Econometric Ensemble,37,174.12534003921448,143.8665269243202,-37.54248570705819
Econometric Ensemble,38,187.22789557293348,157.17001434620312,-50.79675657609681
Econometric Ensemble,39,194.23707977649133,163.63260422694856,-56.34972987124918
Econometric Ensemble,40,197.9762233203683,167.4713972297749,-57.476793926976256
ARIMAX-GARCH,1,3.5348364463164494,2.8200662539467487,1.0281314737563605
ARIMAX-GARCH,2,6.487439139602301,5.585189483342731,3.02711371134925
ARIMAX-GARCH,3,9.88282443128906,8.68283289296611,3.798122515498028
ARIMAX-GARCH,4,11.750874436150013,10.241532214077665,5.174304292112981
ARIMAX-GARCH,5,14.011250011557928,12.771551254074632,7.094418478112232
ARIMAX-GARCH,6,20.247464973654505,17.99606729094714,9.588323425182494
ARIMAX-GARCH,7,25.63202386680328,22.320481454165826,10.590222855829143
ARIMAX-GARCH,8,28.983318779527934,24.80538720942235,12.248735404791182
ARIMAX-GARCH,9,32.5309011359761,28.315557262804504,14.671352391320472
ARIMAX-GARCH,10,39.5895656676389,34.02702768116387,16.563534079877364
ARIMAX-GARCH,11,44.64912541024855,37.25121711207975,16.822613733040242
ARIMAX-GARCH,12,48.18720855190322,39.746277107054134,18.212979331048615
ARIMAX-GARCH,13,52.51037173692574,43.58082393308649,19.9061581310895
